vendor_cleaned,incident_count,avg_delay,median_delay
r c transit,1,90.0,90.0
jodi,3,65.0,60.0
tom tom,1,62.0,62.0
andrews busing inc,1,60.0,60.0
ocean avenue transportati,1,60.0,60.0
amby shore pkwy,1,60.0,60.0
caravan transportation in,3,60.0,60.0
regional,1,60.0,60.0
minibus company,1,60.0,60.0
con,2,60.0,60.0
