model,accuracy,precision_weighted,recall_weighted,f1_weighted,roc_auc_ovr
Random Forest Classifier,0.6271887256531277,0.6250586323863007,0.6271887256531277,0.6243488443958528,0.8776107912070119
Decision Tree Classifier,0.5703117729176361,0.5710915470698102,0.5703117729176361,0.5706165411164217,0.7308026628422419
XGBoost Classifier,0.5618958984245164,0.5631319944193008,0.5618958984245164,0.5497982520254411,0.8315466576976516
