model,variant,mae,mse,rmse,r2
Random Forest Regressor,Base,7.349910711936628,135.03797799907122,11.620584236563634,0.579194346043139
XGBoost Regressor,Base,7.980802522191206,145.76380259309715,12.073268099114554,0.5457705070654353
Lasso Regression,Base,10.064550060783823,195.7380696080425,13.990642215711276,0.39004058261126806
Linear Regression,Base,10.06463290115301,195.73794714030532,13.990637838937342,0.39004096424550894
SGD Regressor,Base,10.066574874675783,195.73629418541753,13.990578765205445,0.39004611518728716
XGBoost Regressor,Tuned,7.5077419705205335,135.91765418879885,11.658372707577968,0.5764530971013698
Lasso Regression,Tuned,10.064624307244184,195.7379534118408,13.990638063070634,0.3900409447021358
