feature,importance,abs_importance
have_you_alerted_opt,4.159969659005363,4.159969659005363
has_contractor_notified_schools,-1.367913007616146,1.367913007616146
weekday,1.243994611351757,1.243994611351757
vendor_cleaned,0.9036298662392858,0.9036298662392858
reason,0.7709774642138768,0.7709774642138768
time_block,0.5131536442596983,0.5131536442596983
report_delay_minutes,0.46055250850936286,0.46055250850936286
route_number_group,0.37214443862085683,0.37214443862085683
run_type,-0.23890728260435537,0.23890728260435537
num_schools,-0.20990033307123634,0.20990033307123634
route_prefix_group,0.14506636446233692,0.14506636446233692
has_contractor_notified_parents,0.1394259869830501,0.1394259869830501
number_of_students,-0.05163812509005594,0.05163812509005594
service_area,0.047315494057893856,0.047315494057893856
